rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,359,base: ,base,,False,,False,False,1,1
2,0,__pr_graph_lp_explicit_zero_free_source__: 1004:room-autoplace: planet: nauvis --> entity: copper-ore,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: copper-ore,False,False,0,0
3,1,__pr_graph_lp_explicit_zero_free_source__: 1009:room-autoplace: planet: nauvis --> entity: stone,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: stone,False,False,0,0
4,2,__pr_graph_lp_explicit_zero_free_source__: 1014:room-autoplace: planet: nauvis --> entity: uranium-ore,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: uranium-ore,False,False,0,0
5,3,__pr_graph_lp_explicit_zero_free_source__: 1017:room-autoplace: planet: nauvis --> entity: borax,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: borax,False,False,0,0
6,4,__pr_graph_lp_explicit_zero_free_source__: 1020:room-autoplace: planet: nauvis --> entity: niobium,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: niobium,False,False,0,0
7,5,__pr_graph_lp_explicit_zero_free_source__: 1023:room-autoplace: planet: nauvis --> entity: molybdenum-ore,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: molybdenum-ore,False,False,0,0
8,6,__pr_graph_lp_explicit_zero_free_source__: 1026:room-autoplace: planet: nauvis --> entity: volcanic-pipe,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: volcanic-pipe,False,False,0,0
9,7,__pr_graph_lp_explicit_zero_free_source__: 1029:room-autoplace: planet: nauvis --> entity: regolites,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: regolites,False,False,0,0
10,8,__pr_graph_lp_explicit_zero_free_source__: 1032:room-autoplace: planet: nauvis --> entity: ore-quartz,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: ore-quartz,False,False,0,0
11,9,__pr_graph_lp_explicit_zero_free_source__: 1035:room-autoplace: planet: nauvis --> entity: raw-coal,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: raw-coal,False,False,0,0
12,10,__pr_graph_lp_explicit_zero_free_source__: 1040:room-autoplace: planet: nauvis --> entity: ore-aluminium,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: ore-aluminium,False,False,0,0
13,11,__pr_graph_lp_explicit_zero_free_source__: 1043:room-autoplace: planet: nauvis --> entity: ore-chromium,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: ore-chromium,False,False,0,0
14,12,__pr_graph_lp_explicit_zero_free_source__: 1046:room-autoplace: planet: nauvis --> entity: ore-lead,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: ore-lead,False,False,0,0
15,13,__pr_graph_lp_explicit_zero_free_source__: 1049:room-autoplace: planet: nauvis --> entity: ore-nickel,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: ore-nickel,False,False,0,0
16,14,__pr_graph_lp_explicit_zero_free_source__: 1052:room-autoplace: planet: nauvis --> entity: ore-tin,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: ore-tin,False,False,0,0
17,15,__pr_graph_lp_explicit_zero_free_source__: 1055:room-autoplace: planet: nauvis --> entity: ore-titanium,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: ore-titanium,False,False,0,0
18,16,__pr_graph_lp_explicit_zero_free_source__: 1058:room-autoplace: planet: nauvis --> entity: ore-zinc,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: ore-zinc,False,False,0,0
19,17,__pr_graph_lp_explicit_zero_free_source__: 1061:room-autoplace: planet: nauvis --> entity: quartz-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: quartz-rock,False,False,0,0
20,18,__pr_graph_lp_explicit_zero_free_source__: 1064:room-autoplace: planet: nauvis --> entity: chromium-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: chromium-rock,False,False,0,0
21,19,__pr_graph_lp_explicit_zero_free_source__: 1067:room-autoplace: planet: nauvis --> entity: aluminium-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: aluminium-rock,False,False,0,0
22,20,__pr_graph_lp_explicit_zero_free_source__: 1070:room-autoplace: planet: nauvis --> entity: copper-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: copper-rock,False,False,0,0
23,21,__pr_graph_lp_explicit_zero_free_source__: 1073:room-autoplace: planet: nauvis --> entity: salt-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: salt-rock,False,False,0,0
24,22,__pr_graph_lp_explicit_zero_free_source__: 1076:room-autoplace: planet: nauvis --> entity: iron-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: iron-rock,False,False,0,0
25,23,__pr_graph_lp_explicit_zero_free_source__: 1079:room-autoplace: planet: nauvis --> entity: coal-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: coal-rock,False,False,0,0
26,24,__pr_graph_lp_explicit_zero_free_source__: 1082:room-autoplace: planet: nauvis --> entity: lead-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: lead-rock,False,False,0,0
27,25,__pr_graph_lp_explicit_zero_free_source__: 1085:room-autoplace: planet: nauvis --> entity: nickel-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: nickel-rock,False,False,0,0
28,26,__pr_graph_lp_explicit_zero_free_source__: 1088:room-autoplace: planet: nauvis --> entity: tin-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: tin-rock,False,False,0,0
29,27,__pr_graph_lp_explicit_zero_free_source__: 1091:room-autoplace: planet: nauvis --> entity: titanium-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: titanium-rock,False,False,0,0
30,28,__pr_graph_lp_explicit_zero_free_source__: 1094:room-autoplace: planet: nauvis --> entity: uranium-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: uranium-rock,False,False,0,0
31,29,__pr_graph_lp_explicit_zero_free_source__: 1097:room-autoplace: planet: nauvis --> entity: zinc-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: zinc-rock,False,False,0,0
32,30,__pr_graph_lp_explicit_zero_free_source__: 1100:room-autoplace: planet: nauvis --> entity: phosphate-rock-02,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: phosphate-rock-02,False,False,0,0
33,31,__pr_graph_lp_explicit_zero_free_source__: 1103:room-autoplace: planet: nauvis --> entity: phosphate-rock,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: phosphate-rock,False,False,0,0
34,32,__pr_graph_lp_explicit_zero_free_source__: 1106:room-autoplace: planet: nauvis --> entity: rare-earth-bolide,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: rare-earth-bolide,False,False,0,0
35,33,__pr_graph_lp_explicit_zero_free_source__: 1109:room-autoplace: planet: nauvis --> entity: oil-sand,,,True,explicit-zero:room-autoplace: planet: nauvis --> entity: oil-sand,False,False,0,0
