rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,3581,item-burn: auog,item-burn,auog,False,,False,False,1,1
2,4183,recipe: generator-1,recipe,generator-1,False,,True,True,4.0000000000001397e-18,4.0000000000001397e-18
3,3745,recipe: biomass-auog,recipe,biomass-auog,False,,True,True,4.0000000000000064e-18,4.0000000000000064e-18
4,3713,recipe: auog-pyvoid,recipe,auog-pyvoid,False,,True,True,4.0000000000000003e-18,4.0000000000000003e-18
5,3841,recipe: caged-auog,recipe,caged-auog,False,,True,True,4.0000000000000003e-18,4.0000000000000003e-18
6,2150,__pr_graph_lp_or_to_or_and__: 6537:item: auog --> recipe-py-module: auog-mk02,,,True,item: auog --> recipe-py-module: auog-mk02,False,False,8.3333333333333311e-21,8.3333333333333311e-21
7,2151,__pr_graph_lp_or_to_or_and__: 6538:item: auog --> recipe-py-module: auog-mk03,,,True,item: auog --> recipe-py-module: auog-mk03,False,False,8.3333333333333311e-21,8.3333333333333311e-21
8,2152,__pr_graph_lp_or_to_or_and__: 6539:item: auog --> recipe-py-module: auog-mk04,,,True,item: auog --> recipe-py-module: auog-mk04,False,False,8.3333333333333311e-21,8.3333333333333311e-21
9,2145,__pr_graph_lp_or_to_or_and__: 6510:item: auog --> recipe-py-module: auog-pup-breeding-1,,,True,item: auog --> recipe-py-module: auog-pup-breeding-1,False,False,4.1666666666666656e-21,4.1666666666666656e-21
10,2146,__pr_graph_lp_or_to_or_and__: 6517:item: auog --> recipe-py-module: auog-pup-breeding-2,,,True,item: auog --> recipe-py-module: auog-pup-breeding-2,False,False,4.1666666666666656e-21,4.1666666666666656e-21
11,2147,__pr_graph_lp_or_to_or_and__: 6518:item: auog --> recipe-py-module: auog-pup-breeding-3,,,True,item: auog --> recipe-py-module: auog-pup-breeding-3,False,False,3.3333333333333325e-21,3.3333333333333325e-21
12,2148,__pr_graph_lp_or_to_or_and__: 6519:item: auog --> recipe-py-module: auog-pup-breeding-4,,,True,item: auog --> recipe-py-module: auog-pup-breeding-4,False,False,3.3333333333333325e-21,3.3333333333333325e-21
13,2149,__pr_graph_lp_or_to_or_and__: 6520:item: auog --> recipe-py-module: auog-pup-breeding-5,,,True,item: auog --> recipe-py-module: auog-pup-breeding-5,False,False,2.7777777777777778e-21,2.7777777777777778e-21
14,3594,item-burn: light-oil-canister,item-burn,light-oil-canister,False,,False,False,1.2380851679720611e-21,1.2380851679720611e-21
15,3596,item-burn: middle-oil-canister,item-burn,middle-oil-canister,False,,False,False,1.2380851679720611e-21,1.2380851679720611e-21
16,3582,item-burn: carbolic-oil-canister,item-burn,carbolic-oil-canister,False,,False,False,1.2380851679720606e-21,1.2380851679720606e-21
17,3602,item-burn: tall-oil-canister,item-burn,tall-oil-canister,False,,False,False,1.2380851679720606e-21,1.2380851679720606e-21
18,3579,item-burn: anthracene-oil-canister,item-burn,anthracene-oil-canister,False,,False,False,1.2380851679720602e-21,1.2380851679720602e-21
19,3578,item-burn: acetylene-canister,item-burn,acetylene-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
20,3580,item-burn: aromatics-canister,item-burn,aromatics-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
21,3585,item-burn: coal-gas-canister,item-burn,coal-gas-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
22,3587,item-burn: condensates-canister,item-burn,condensates-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
23,3589,item-burn: gasoline-canister,item-burn,gasoline-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
24,3591,item-burn: heavy-oil-canister,item-burn,heavy-oil-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
25,3593,item-burn: kerosene-canister,item-burn,kerosene-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
26,3595,item-burn: methane-canister,item-burn,methane-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
27,3597,item-burn: naphthalene-oil-canister,item-burn,naphthalene-oil-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
28,3598,item-burn: pitch-canister,item-burn,pitch-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
29,3600,item-burn: scrude-canister,item-burn,scrude-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
30,3601,item-burn: syngas-canister,item-burn,syngas-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
31,3603,item-burn: tar-canister,item-burn,tar-canister,False,,False,False,1.2380851679720559e-21,1.2380851679720559e-21
32,3392,entity-operate: py-coal-powerplant-mk01,entity-operate,py-coal-powerplant-mk01,False,,False,False,3.7619531125084072e-22,3.7619531125084072e-22
33,1363,__pr_graph_lp_or_to_or_and__: 1807:item: auog --> entity-operate-py-module: auog-paddock-mk01,,,True,item: auog --> entity-operate-py-module: auog-paddock-mk01,False,False,2.7777777777777779e-22,2.7777777777777779e-22
34,1364,__pr_graph_lp_or_to_or_and__: 1809:item: auog --> entity-operate-py-module: auog-paddock-mk02,,,True,item: auog --> entity-operate-py-module: auog-paddock-mk02,False,False,2.7777777777777779e-22,2.7777777777777779e-22
35,1365,__pr_graph_lp_or_to_or_and__: 1810:item: auog --> entity-operate-py-module: auog-paddock-mk03,,,True,item: auog --> entity-operate-py-module: auog-paddock-mk03,False,False,2.7777777777777779e-22,2.7777777777777779e-22
