rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,5648,item-burn: auog,item-burn,auog,False,,False,False,1,1
2,6786,recipe: generator-1,recipe,generator-1,False,,True,True,4.0000000000001397e-18,4.0000000000001397e-18
3,5939,recipe: biomass-auog,recipe,biomass-auog,False,,True,True,4.0000000000000064e-18,4.0000000000000064e-18
4,5884,recipe: auog-pyvoid,recipe,auog-pyvoid,False,,True,True,4.0000000000000003e-18,4.0000000000000003e-18
5,6107,recipe: caged-auog,recipe,caged-auog,False,,True,True,4.0000000000000003e-18,4.0000000000000003e-18
6,5646,item-burn: anthracene-oil-canister,item-burn,anthracene-oil-canister,False,,False,False,7.1291757809060553e-20,7.1291757809060553e-20
7,5651,item-burn: bitumen-canister,item-burn,bitumen-canister,False,,False,False,7.1291757809060553e-20,7.1291757809060553e-20
8,5652,item-burn: btx-canister,item-burn,btx-canister,False,,False,False,7.1291757809060553e-20,7.1291757809060553e-20
9,5674,item-burn: light-oil-canister,item-burn,light-oil-canister,False,,False,False,7.1291757809060553e-20,7.1291757809060553e-20
10,5678,item-burn: methanol-canister,item-burn,methanol-canister,False,,False,False,7.1291757809060553e-20,7.1291757809060553e-20
11,5682,item-burn: natural-gas-canister,item-burn,natural-gas-canister,False,,False,False,7.1291757809060553e-20,7.1291757809060553e-20
12,5691,item-burn: refined-natural-gas-canister,item-burn,refined-natural-gas-canister,False,,False,False,7.1291757809060553e-20,7.1291757809060553e-20
13,5692,item-burn: refsyngas-canister,item-burn,refsyngas-canister,False,,False,False,7.1291757809060553e-20,7.1291757809060553e-20
14,5645,item-burn: acetylene-canister,item-burn,acetylene-canister,False,,False,False,7.1291757809060529e-20,7.1291757809060529e-20
15,5649,item-burn: benzene-canister,item-burn,benzene-canister,False,,False,False,7.1291757809060529e-20,7.1291757809060529e-20
16,5650,item-burn: bio-oil-canister,item-burn,bio-oil-canister,False,,False,False,7.1291757809060529e-20,7.1291757809060529e-20
17,5653,item-burn: carbolic-oil-canister,item-burn,carbolic-oil-canister,False,,False,False,7.1291757809060529e-20,7.1291757809060529e-20
