rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,7516,item-burn: mox-fuel-cell,item-burn,mox-fuel-cell,False,,False,False,0.98058067569092022,0.83333333333333337
2,7537,item-burn: uranium-fuel-cell,item-burn,uranium-fuel-cell,False,,False,False,0.19611613513818404,0.16666666666666666
3,9573,recipe: mox-fuel-cell-pyvoid,recipe,mox-fuel-cell-pyvoid,False,,True,True,2.3571650857954818e-21,2.0032051282051286e-21
4,10644,recipe: uranium-fuel-cell-pyvoid,recipe,uranium-fuel-cell-pyvoid,False,,True,True,4.7143301715909635e-22,4.006410256410257e-22
5,2476,__pr_graph_lp_or_to_or_and__: 22134:item: uranium-fuel-cell --> energy-source-burner: nuclear_2_1,,,True,item: uranium-fuel-cell --> energy-source-burner: nuclear_2_1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
6,2477,__pr_graph_lp_or_to_or_and__: 22135:item: mox-fuel-cell --> energy-source-burner: nuclear_2_1,,,True,item: mox-fuel-cell --> energy-source-burner: nuclear_2_1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
7,5436,__pr_graph_lp_or_to_or_and__: 6372:item: uranium-fuel-cell --> fuel-category: nuclear__1,,,True,item: uranium-fuel-cell --> fuel-category: nuclear__1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
8,5437,__pr_graph_lp_or_to_or_and__: 6373:item: mox-fuel-cell --> fuel-category: nuclear__1,,,True,item: mox-fuel-cell --> fuel-category: nuclear__1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
9,7751,recipe: ash3,recipe,ash3,False,,True,True,8.8393690717330569e-41,7.5120192307692324e-41
10,7634,recipe: aai-fast-loader-pyvoid,recipe,aai-fast-loader-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
11,7636,recipe: aai-loader-pyvoid,recipe,aai-loader-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
12,7638,recipe: accumulator-pyvoid,recipe,accumulator-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
13,7648,recipe: acid-refined-concrete-pyvoid,recipe,acid-refined-concrete-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
14,7655,recipe: active-provider-chest-pyvoid,recipe,active-provider-chest-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
15,7657,recipe: advanced-circuit-pyvoid,recipe,advanced-circuit-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
16,7659,recipe: advanced-foundry-mk01-pyvoid,recipe,advanced-foundry-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
17,7661,recipe: aerial-base-pyvoid,recipe,aerial-base-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
18,7663,recipe: aerial-blimp-mk01-pyvoid,recipe,aerial-blimp-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
19,7665,recipe: aerial-blimp-mk02-pyvoid,recipe,aerial-blimp-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
20,7667,recipe: agar-pyvoid,recipe,agar-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
21,7669,recipe: agitator-mk01-pyvoid,recipe,agitator-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
22,7677,recipe: albumin-pyvoid,recipe,albumin-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
23,7679,recipe: alien-sample-02-pyvoid,recipe,alien-sample-02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
24,7681,recipe: alien-sample01-pyvoid,recipe,alien-sample01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
25,7684,recipe: aluminium-plate-pyvoid,recipe,aluminium-plate-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
26,7689,recipe: ammonium-chloride-pyvoid,recipe,ammonium-chloride-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
27,7691,recipe: anemometer-mk01-pyvoid,recipe,anemometer-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
28,7693,recipe: anemometer-mk02-pyvoid,recipe,anemometer-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
29,7695,recipe: animal-sample-01-pyvoid,recipe,animal-sample-01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
30,7704,recipe: antimonium-ore-pyvoid,recipe,antimonium-ore-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
31,7706,recipe: antimony-drill-mk01-pyvoid,recipe,antimony-drill-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
32,7709,recipe: aramid-pyvoid,recipe,aramid-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
33,7711,recipe: arithmetic-combinator-pyvoid,recipe,arithmetic-combinator-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
34,7723,recipe: arqad-codex-pyvoid,recipe,arqad-codex-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
35,7726,recipe: arqad-egg-nest-pyvoid,recipe,arqad-egg-nest-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
36,7728,recipe: arqad-egg-pyvoid,recipe,arqad-egg-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
37,7732,recipe: arqad-hive-mk01-pyvoid,recipe,arqad-hive-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
38,7735,recipe: arqad-maggot-pyvoid,recipe,arqad-maggot-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
39,7737,recipe: arqad-pyvoid,recipe,arqad-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
40,7739,recipe: arqad-queen-pyvoid,recipe,arqad-queen-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
41,7749,recipe: ash-pyvoid,recipe,ash-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
42,7753,recipe: assembling-machine-1-pyvoid,recipe,assembling-machine-1-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
43,7755,recipe: assembling-machine-2-pyvoid,recipe,assembling-machine-2-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
44,7757,recipe: assembling-machine-3-pyvoid,recipe,assembling-machine-3-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
45,7759,recipe: atomizer-mk01-pyvoid,recipe,atomizer-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
46,7762,recipe: auog-codex-pyvoid,recipe,auog-codex-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
47,7764,recipe: auog-food-01-pyvoid,recipe,auog-food-01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
48,7766,recipe: auog-food-02-pyvoid,recipe,auog-food-02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
49,7772,recipe: auog-mk02-pyvoid,recipe,auog-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
50,7775,recipe: auog-paddock-mk01-pyvoid,recipe,auog-paddock-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
51,7783,recipe: auog-pup-mk02-pyvoid,recipe,auog-pup-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
52,7784,recipe: auog-pup-pyvoid,recipe,auog-pup-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
53,7785,recipe: auog-pyvoid,recipe,auog-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
54,7790,recipe: automated-factory-mk01-pyvoid,recipe,automated-factory-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
55,7792,recipe: automated-screener-mk01-pyvoid,recipe,automated-screener-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
56,7794,recipe: automation-science-pack-pyvoid,recipe,automation-science-pack-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
57,7799,recipe: bakelite-pyvoid,recipe,bakelite-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
58,7802,recipe: ball-mill-mk01-pyvoid,recipe,ball-mill-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
59,7805,recipe: barrel-machine-mk01-pyvoid,recipe,barrel-machine-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
