rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,15119,item-burn: mox-fuel-cell,item-burn,mox-fuel-cell,False,,False,False,0.98058067569092022,0.83333333333333337
2,15146,item-burn: uranium-fuel-cell,item-burn,uranium-fuel-cell,False,,False,False,0.19611613513818404,0.16666666666666666
3,18238,item-launch: mox-fuel-cell,item-launch,mox-fuel-cell,False,,True,False,2.3571650857954818e-21,2.0032051282051286e-21
4,22803,recipe: mox-fuel-cell-pyvoid,recipe,mox-fuel-cell-pyvoid,False,,True,True,2.3571650857954818e-21,2.0032051282051286e-21
5,19049,item-launch: uranium-fuel-cell,item-launch,uranium-fuel-cell,False,,True,False,4.7143301715909635e-22,4.006410256410257e-22
6,24791,recipe: uranium-fuel-cell-pyvoid,recipe,uranium-fuel-cell-pyvoid,False,,True,True,4.7143301715909635e-22,4.006410256410257e-22
7,3274,__pr_graph_lp_or_to_or_and__: 11304:item: uranium-fuel-cell --> fuel-category: nuclear__1,,,True,item: uranium-fuel-cell --> fuel-category: nuclear__1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
8,3275,__pr_graph_lp_or_to_or_and__: 11305:item: mox-fuel-cell --> fuel-category: nuclear__1,,,True,item: mox-fuel-cell --> fuel-category: nuclear__1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
9,6065,__pr_graph_lp_or_to_or_and__: 47098:item: uranium-fuel-cell --> energy-source-burner: nuclear_2_1,,,True,item: uranium-fuel-cell --> energy-source-burner: nuclear_2_1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
10,6066,__pr_graph_lp_or_to_or_and__: 47099:item: mox-fuel-cell --> energy-source-burner: nuclear_2_1,,,True,item: mox-fuel-cell --> energy-source-burner: nuclear_2_1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
11,20454,recipe: coal-pulp-04,recipe,coal-pulp-04,False,,True,True,1.1785825428977411e-40,1.0016025641025645e-40
12,19575,recipe: ash3,recipe,ash3,False,,True,True,8.8393690717330569e-41,7.5120192307692324e-41
13,19292,recipe: 3-diethylaminophenol-pyvoid,recipe,3-diethylaminophenol-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
14,19309,recipe: aai-fast-loader-pyvoid,recipe,aai-fast-loader-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
15,19311,recipe: aai-loader-pyvoid,recipe,aai-loader-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
16,19313,recipe: abraded-rennea-seeds-mk02-pyvoid,recipe,abraded-rennea-seeds-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
17,19316,recipe: accumulator-mk01-pyvoid,recipe,accumulator-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
18,19317,recipe: accumulator-pyvoid,recipe,accumulator-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
19,19320,recipe: acetaldehyde-pyvoid,recipe,acetaldehyde-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
20,19331,recipe: acid-refined-concrete-pyvoid,recipe,acid-refined-concrete-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
21,19347,recipe: acrylic-pyvoid,recipe,acrylic-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
22,19351,recipe: acrylonitrile-pyvoid,recipe,acrylonitrile-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
23,19354,recipe: active-provider-chest-pyvoid,recipe,active-provider-chest-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
24,19356,recipe: adrenal-cortex-pyvoid,recipe,adrenal-cortex-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
25,19358,recipe: advanced-circuit-pyvoid,recipe,advanced-circuit-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
