rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,20127,item-burn: mox-fuel-cell,item-burn,mox-fuel-cell,False,,False,False,0.98058067569092022,0.83333333333333337
2,20158,item-burn: uranium-fuel-cell,item-burn,uranium-fuel-cell,False,,False,False,0.19611613513818404,0.16666666666666666
3,24444,item-launch: mox-fuel-cell,item-launch,mox-fuel-cell,False,,True,False,2.3571650857954818e-21,2.0032051282051286e-21
4,30799,recipe: mox-fuel-cell-pyvoid,recipe,mox-fuel-cell-pyvoid,False,,True,True,2.3571650857954818e-21,2.0032051282051286e-21
5,25517,item-launch: uranium-fuel-cell,item-launch,uranium-fuel-cell,False,,True,False,4.7143301715909635e-22,4.006410256410257e-22
6,33543,recipe: uranium-fuel-cell-pyvoid,recipe,uranium-fuel-cell-pyvoid,False,,True,True,4.7143301715909635e-22,4.006410256410257e-22
7,5267,__pr_graph_lp_or_to_or_and__: 14804:item: uranium-fuel-cell --> fuel-category: nuclear__1,,,True,item: uranium-fuel-cell --> fuel-category: nuclear__1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
8,5268,__pr_graph_lp_or_to_or_and__: 14805:item: mox-fuel-cell --> fuel-category: nuclear__1,,,True,item: mox-fuel-cell --> fuel-category: nuclear__1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
9,9152,__pr_graph_lp_or_to_or_and__: 67450:item: uranium-fuel-cell --> energy-source-burner: nuclear_2_1,,,True,item: uranium-fuel-cell --> energy-source-burner: nuclear_2_1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
10,9153,__pr_graph_lp_or_to_or_and__: 67451:item: mox-fuel-cell --> energy-source-burner: nuclear_2_1,,,True,item: mox-fuel-cell --> energy-source-burner: nuclear_2_1,False,False,1.1785825428977409e-31,1.0016025641025643e-31
11,27553,recipe: coal-pulp-04,recipe,coal-pulp-04,False,,True,True,1.1785825428977411e-40,1.0016025641025645e-40
12,26256,recipe: ash3,recipe,ash3,False,,True,True,8.8393690717330569e-41,7.5120192307692324e-41
13,25837,recipe: 1d-photonic-crystal-pyvoid,recipe,1d-photonic-crystal-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
14,25839,recipe: 3-diethylaminophenol-pyvoid,recipe,3-diethylaminophenol-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
15,25869,recipe: aai-express-loader-pyvoid,recipe,aai-express-loader-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
16,25871,recipe: aai-fast-loader-pyvoid,recipe,aai-fast-loader-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
17,25873,recipe: aai-loader-pyvoid,recipe,aai-loader-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
18,25877,recipe: abraded-rennea-seeds-mk02-pyvoid,recipe,abraded-rennea-seeds-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
19,25878,recipe: abraded-rennea-seeds-mk03-pyvoid,recipe,abraded-rennea-seeds-mk03-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
20,25879,recipe: abraded-rennea-seeds-mk04-pyvoid,recipe,abraded-rennea-seeds-mk04-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
21,25882,recipe: accumulator-mk01-pyvoid,recipe,accumulator-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
22,25884,recipe: accumulator-mk02-pyvoid,recipe,accumulator-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
23,25885,recipe: accumulator-pyvoid,recipe,accumulator-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
24,25888,recipe: acetaldehyde-pyvoid,recipe,acetaldehyde-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
25,25899,recipe: acid-refined-concrete-pyvoid,recipe,acid-refined-concrete-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
26,25915,recipe: acrylic-pyvoid,recipe,acrylic-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
27,25919,recipe: acrylonitrile-pyvoid,recipe,acrylonitrile-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
28,25922,recipe: active-provider-chest-pyvoid,recipe,active-provider-chest-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
29,25924,recipe: adam42-gen-pyvoid,recipe,adam42-gen-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
30,25926,recipe: adaptable-automucosa-pyvoid,recipe,adaptable-automucosa-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
31,25928,recipe: adrenal-cortex-pyvoid,recipe,adrenal-cortex-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
32,25930,recipe: advanced-circuit-pyvoid,recipe,advanced-circuit-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
33,25932,recipe: advanced-foundry-mk01-pyvoid,recipe,advanced-foundry-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
34,25934,recipe: advanced-foundry-mk02-pyvoid,recipe,advanced-foundry-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
35,25936,recipe: advanced-foundry-mk03-pyvoid,recipe,advanced-foundry-mk03-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
36,25938,recipe: advanced-substrate-pyvoid,recipe,advanced-substrate-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
37,25940,recipe: aerial-base-pyvoid,recipe,aerial-base-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
38,25942,recipe: aerial-blimp-mk01-pyvoid,recipe,aerial-blimp-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
39,25944,recipe: aerial-blimp-mk02-pyvoid,recipe,aerial-blimp-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
40,25946,recipe: aerial-blimp-mk03-pyvoid,recipe,aerial-blimp-mk03-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
41,25948,recipe: aerial-blimp-mk04-pyvoid,recipe,aerial-blimp-mk04-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
42,25953,recipe: aerogel-pyvoid,recipe,aerogel-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
43,25955,recipe: aeroorgan-pyvoid,recipe,aeroorgan-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
44,25960,recipe: agar-pyvoid,recipe,agar-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
45,25962,recipe: agitator-mk01-pyvoid,recipe,agitator-mk01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
46,25964,recipe: agitator-mk02-pyvoid,recipe,agitator-mk02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
47,25966,recipe: agitator-mk03-pyvoid,recipe,agitator-mk03-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
48,25968,recipe: agzn-alloy-pyvoid,recipe,agzn-alloy-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
49,25970,recipe: air-duct-pyvoid,recipe,air-duct-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
50,25988,recipe: alag-alloy-pyvoid,recipe,alag-alloy-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
51,25990,recipe: alag-grid-pyvoid,recipe,alag-grid-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
52,25996,recipe: albumin-pyvoid,recipe,albumin-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
53,25998,recipe: alien-enzymes-pyvoid,recipe,alien-enzymes-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
54,26000,recipe: alien-sample-02-pyvoid,recipe,alien-sample-02-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
55,26002,recipe: alien-sample-03-pyvoid,recipe,alien-sample-03-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
56,26004,recipe: alien-sample01-pyvoid,recipe,alien-sample01-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
57,26009,recipe: aluminium-mine-pyvoid,recipe,aluminium-mine-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
58,26012,recipe: aluminium-plate-pyvoid,recipe,aluminium-plate-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
59,26013,recipe: am-241-pyvoid,recipe,am-241-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
60,26015,recipe: am-243-pyvoid,recipe,am-243-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
61,26024,recipe: ammonium-chloride-pyvoid,recipe,ammonium-chloride-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
62,26026,recipe: ammonium-mixture-pyvoid,recipe,ammonium-mixture-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
63,26028,recipe: ammonium-nitrate-pyvoid,recipe,ammonium-nitrate-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
64,26030,recipe: ammonium-oxalate-pyvoid,recipe,ammonium-oxalate-pyvoid,False,,True,True,6.7473850580895667e-41,5.7341746794871809e-41
