rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,19904,entity-operate: fusion-reactor-mk02,entity-operate,fusion-reactor-mk02,False,,False,False,0.98941370762718261,0.74759788853783471
2,19903,entity-operate: fusion-reactor-mk01,entity-operate,fusion-reactor-mk01,False,,False,False,0.12367671345339783,0.093449736067229339
3,20117,entity-operate: particle-accelerator-mk03,entity-operate,particle-accelerator-mk03,False,,False,False,0.049470685381359146,0.037379894426891748
4,20116,entity-operate: particle-accelerator-mk02,entity-operate,particle-accelerator-mk02,False,,False,False,0.037103014036019351,0.028034920820168806
5,20115,entity-operate: particle-accelerator-mk01,entity-operate,particle-accelerator-mk01,False,,False,False,0.024735342690679573,0.018689947213445874
6,19768,entity-operate: centrifuge-mk03,entity-operate,centrifuge-mk03,False,,False,False,0.024735342690679566,0.018689947213445871
7,20412,entity-operate: uranium-mine,entity-operate,uranium-mine,False,,False,False,0.022261808421611611,0.016820952492101283
8,19767,entity-operate: centrifuge-mk02,entity-operate,centrifuge-mk02,False,,False,False,0.012367671345339787,0.009344973606722937
9,19766,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,0.0061838356726698933,0.0046724868033614685
10,20413,entity-operate: uranium-mining-drill,entity-operate,uranium-mining-drill,False,,False,False,0.0044523616843223221,0.0033641904984202564
11,19724,entity-operate: bio-printer-mk04,entity-operate,bio-printer-mk04,False,,False,False,0.0017809446737289288,0.0013456761993681026
12,19846,entity-operate: eaf-mk03,entity-operate,eaf-mk03,False,,False,False,0.0013357085052966967,0.001009257149526077
13,19723,entity-operate: bio-printer-mk03,entity-operate,bio-printer-mk03,False,,False,False,0.00089047233686446439,0.00067283809968405131
14,19845,entity-operate: eaf-mk02,entity-operate,eaf-mk02,False,,False,False,0.00089047233686446439,0.00067283809968405131
15,19851,entity-operate: electrolyzer-mk03,entity-operate,electrolyzer-mk03,False,,False,False,0.00074206028072038716,0.00056069841640337618
16,20250,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,0.00074206028072038716,0.00056069841640337618
17,20172,entity-operate: py-electric-boiler,entity-operate,py-electric-boiler,False,,False,False,0.00061838356726698915,0.00046724868033614671
18,19850,entity-operate: electrolyzer-mk02,entity-operate,electrolyzer-mk02,False,,False,False,0.00049470685381359147,0.00037379894426891751
19,19722,entity-operate: bio-printer-mk02,entity-operate,bio-printer-mk02,False,,False,False,0.0004452361684322322,0.00033641904984202565
20,19844,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,0.0004452361684322322,0.00033641904984202565
21,19849,entity-operate: electrolyzer-mk01,entity-operate,electrolyzer-mk01,False,,False,False,0.00024735342690679574,0.00018689947213445875
22,19721,entity-operate: bio-printer-mk01,entity-operate,bio-printer-mk01,False,,False,False,0.0002226180842161161,0.00016820952492101283
23,20046,entity-operate: natural-gas-derrick-mk03,entity-operate,natural-gas-derrick-mk03,False,,False,False,0.0002226180842161161,0.00016820952492101283
24,20093,entity-operate: oil-derrick-mk03,entity-operate,oil-derrick-mk03,False,,False,False,0.0002226180842161161,0.00016820952492101283
