rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,21548,entity-operate: fusion-reactor-mk02,entity-operate,fusion-reactor-mk02,False,,False,False,0.98632297596909568,0.68255484851757275
2,21547,entity-operate: fusion-reactor-mk01,entity-operate,fusion-reactor-mk01,False,,False,False,0.12329037199613696,0.085319356064696594
3,21803,entity-operate: particle-accelerator-mk04,entity-operate,particle-accelerator-mk04,False,,False,False,0.061645185998068487,0.042659678032348304
4,21391,entity-operate: centrifuge-mk04,entity-operate,centrifuge-mk04,False,,False,False,0.049316148798454786,0.03412774242587864
5,21802,entity-operate: particle-accelerator-mk03,entity-operate,particle-accelerator-mk03,False,,False,False,0.049316148798454786,0.03412774242587864
6,21801,entity-operate: particle-accelerator-mk02,entity-operate,particle-accelerator-mk02,False,,False,False,0.036987111598841084,0.025595806819408977
7,21390,entity-operate: centrifuge-mk03,entity-operate,centrifuge-mk03,False,,False,False,0.024658074399227393,0.01706387121293932
8,21800,entity-operate: particle-accelerator-mk01,entity-operate,particle-accelerator-mk01,False,,False,False,0.024658074399227393,0.01706387121293932
9,22134,entity-operate: uranium-mine,entity-operate,uranium-mine,False,,False,False,0.022192266959304655,0.015357484091645389
10,21389,entity-operate: centrifuge-mk02,entity-operate,centrifuge-mk02,False,,False,False,0.012329037199613696,0.0085319356064696601
11,21388,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,0.0061645185998068482,0.0042659678032348301
12,22135,entity-operate: uranium-mining-drill,entity-operate,uranium-mining-drill,False,,False,False,0.0044384533918609302,0.0030714968183290772
13,21338,entity-operate: bio-printer-mk04,entity-operate,bio-printer-mk04,False,,False,False,0.0017753813567443722,0.0012285987273316309
14,21482,entity-operate: eaf-mk04,entity-operate,eaf-mk04,False,,False,False,0.0017753813567443722,0.0012285987273316309
15,21481,entity-operate: eaf-mk03,entity-operate,eaf-mk03,False,,False,False,0.0013315360175582792,0.00092144904549872324
16,21488,entity-operate: electrolyzer-mk04,entity-operate,electrolyzer-mk04,False,,False,False,0.00098632297596909588,0.00068255484851757297
17,21337,entity-operate: bio-printer-mk03,entity-operate,bio-printer-mk03,False,,False,False,0.00088769067837218612,0.00061429936366581546
18,21480,entity-operate: eaf-mk02,entity-operate,eaf-mk02,False,,False,False,0.00088769067837218612,0.00061429936366581546
19,21487,entity-operate: electrolyzer-mk03,entity-operate,electrolyzer-mk03,False,,False,False,0.00073974223197682191,0.00051191613638817968
20,21945,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,0.00073974223197682191,0.00051191613638817968
21,21865,entity-operate: py-electric-boiler,entity-operate,py-electric-boiler,False,,False,False,0.00061645185998068482,0.00042659678032348303
22,21486,entity-operate: electrolyzer-mk02,entity-operate,electrolyzer-mk02,False,,False,False,0.00049316148798454794,0.00034127742425878649
23,21336,entity-operate: bio-printer-mk02,entity-operate,bio-printer-mk02,False,,False,False,0.00044384533918609306,0.00030714968183290773
24,21479,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,0.00044384533918609306,0.00030714968183290773
25,21722,entity-operate: natural-gas-derrick-mk04,entity-operate,natural-gas-derrick-mk04,False,,False,False,0.00029589689279072869,0.00020476645455527184
26,21776,entity-operate: oil-derrick-mk04,entity-operate,oil-derrick-mk04,False,,False,False,0.00029589689279072869,0.00020476645455527184
27,22074,entity-operate: tar-extractor-mk04,entity-operate,tar-extractor-mk04,False,,False,False,0.00029589689279072869,0.00020476645455527184
28,21270,entity-operate: advanced-foundry-mk04,entity-operate,advanced-foundry-mk04,False,,False,False,0.00024658074399227397,0.00017063871212939324
29,21315,entity-operate: automated-factory-mk04,entity-operate,automated-factory-mk04,False,,False,False,0.00024658074399227397,0.00017063871212939324
30,21485,entity-operate: electrolyzer-mk01,entity-operate,electrolyzer-mk01,False,,False,False,0.00024658074399227397,0.00017063871212939324
31,21963,entity-operate: reformer-mk04,entity-operate,reformer-mk04,False,,False,False,0.00024658074399227397,0.00017063871212939324
32,22141,entity-operate: vacuum-pump-mk04,entity-operate,vacuum-pump-mk04,False,,False,False,0.00024658074399227397,0.00017063871212939324
33,21335,entity-operate: bio-printer-mk01,entity-operate,bio-printer-mk01,False,,False,False,0.00022192266959304653,0.00015357484091645387
34,21721,entity-operate: natural-gas-derrick-mk03,entity-operate,natural-gas-derrick-mk03,False,,False,False,0.00022192266959304653,0.00015357484091645387
35,21775,entity-operate: oil-derrick-mk03,entity-operate,oil-derrick-mk03,False,,False,False,0.00022192266959304653,0.00015357484091645387
36,22073,entity-operate: tar-extractor-mk03,entity-operate,tar-extractor-mk03,False,,False,False,0.00022192266959304653,0.00015357484091645387
37,21269,entity-operate: advanced-foundry-mk03,entity-operate,advanced-foundry-mk03,False,,False,False,0.00019726459519381914,0.00013651096970351457
38,21314,entity-operate: automated-factory-mk03,entity-operate,automated-factory-mk03,False,,False,False,0.00019726459519381914,0.00013651096970351457
39,21611,entity-operate: hpf-mk04,entity-operate,hpf-mk04,False,,False,False,0.00019726459519381914,0.00013651096970351457
40,21962,entity-operate: reformer-mk03,entity-operate,reformer-mk03,False,,False,False,0.00018493555799420548,0.00012797903409704492
41,21678,entity-operate: mega-farm,entity-operate,mega-farm,False,,False,False,0.00014918135011532575,0.00010323642083828291
42,21313,entity-operate: automated-factory-mk02,entity-operate,automated-factory-mk02,False,,False,False,0.00014794844639536434,0.00010238322727763592
43,21396,entity-operate: chemical-plant-mk04,entity-operate,chemical-plant-mk04,False,,False,False,0.00014794844639536434,0.00010238322727763592
44,21529,entity-operate: flotation-cell-mk04,entity-operate,flotation-cell-mk04,False,,False,False,0.00014794844639536434,0.00010238322727763592
45,21542,entity-operate: fracking-rig,entity-operate,fracking-rig,False,,False,False,0.00014794844639536434,0.00010238322727763592
46,21546,entity-operate: fts-reactor-mk04,entity-operate,fts-reactor-mk04,False,,False,False,0.00014794844639536434,0.00010238322727763592
47,21610,entity-operate: hpf-mk03,entity-operate,hpf-mk03,False,,False,False,0.00014794844639536434,0.00010238322727763592
48,21720,entity-operate: natural-gas-derrick-mk02,entity-operate,natural-gas-derrick-mk02,False,,False,False,0.00014794844639536434,0.00010238322727763592
49,21774,entity-operate: oil-derrick-mk02,entity-operate,oil-derrick-mk02,False,,False,False,0.00014794844639536434,0.00010238322727763592
50,21927,entity-operate: quantum-computer,entity-operate,quantum-computer,False,,False,False,0.00014794844639536434,0.00010238322727763592
51,22038,entity-operate: solid-separator-mk04,entity-operate,solid-separator-mk04,False,,False,False,0.00014794844639536434,0.00010238322727763592
52,22072,entity-operate: tar-extractor-mk02,entity-operate,tar-extractor-mk02,False,,False,False,0.00014794844639536434,0.00010238322727763592
