rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,433,entity-operate: boiler,entity-operate,boiler,False,,False,False,0.98958061761838556,0.84095351006775432
2,436,entity-operate: burner-mining-drill,entity-operate,burner-mining-drill,False,,False,False,0.13368194766880304,0.11360398650019506
3,488,entity-operate: stone-furnace,entity-operate,stone-furnace,False,,False,False,0.053472779067521223,0.045441594600078031
4,279,__pr_graph_lp_or_to_or_and__: 772:item: wood --> energy-source-burner: chemical__biomass_2_1,,,True,item: wood --> energy-source-burner: chemical__biomass_2_1,False,False,-2.6736389533758707e-07,2.2720797300037398e-07
5,280,__pr_graph_lp_or_to_or_and__: 773:item: log --> energy-source-burner: chemical__biomass_2_1,,,True,item: log --> energy-source-burner: chemical__biomass_2_1,False,False,-2.6736389533758707e-07,2.2720797300037398e-07
6,277,__pr_graph_lp_or_to_or_and__: 770:item: raw-coal --> energy-source-burner: chemical__biomass_2_1,,,True,item: raw-coal --> energy-source-burner: chemical__biomass_2_1,False,False,-2.6736389533758702e-07,2.2720797300037393e-07
7,278,__pr_graph_lp_or_to_or_and__: 771:item: kerogen --> energy-source-burner: chemical__biomass_2_1,,,True,item: kerogen --> energy-source-burner: chemical__biomass_2_1,False,False,-2.6736389533758702e-07,2.2720797300037393e-07
8,221,__pr_graph_lp_or_to_or_and__: 289:fluid: water --> entity-operate-fluid: boiler,,,True,fluid: water --> entity-operate-fluid: boiler,False,False,-7.0738639104499352e-14,6.0114260317177417e-14
9,345,__pr_graph_lp_or_to_or_and__: 910:entity-operate: burner-mining-drill --> resource-category: basic-solid__0__0:noncoproduct-route,,,True,entity-operate: burner-mining-drill --> resource-category: basic-solid__0__0,False,False,-9.5560471603176988e-15,8.1208051762197939e-15
10,337,__pr_graph_lp_or_to_or_and__: 900:entity-operate: boiler --> fluid-create-temperature: steam: 250:noncoproduct-route,,,True,entity-operate: boiler --> fluid-create-temperature: steam: 250,False,False,-9.431818547231748e-15,8.0152347089273888e-15
11,342,__pr_graph_lp_or_to_or_and__: 906:entity-operate: stone-furnace --> recipe-category: smelting__0__0:noncoproduct-route,,,True,entity-operate: stone-furnace --> recipe-category: smelting__0__0,False,False,-3.8224188641347763e-15,3.2483220704944579e-15
12,519,item-burn: raw-coal,item-burn,raw-coal,False,,False,False,-5.4340958085088388e-16,4.6179380061102322e-16
13,518,item-burn: kerogen,item-burn,kerogen,False,,False,False,-2.9225382056013534e-16,2.4835963018581986e-16
14,513,entity-operate: wpu-mk01,entity-operate,wpu-mk01,False,,False,False,-1.1469082782230245e-16,9.7465181221784826e-17
15,484,entity-operate: soil-extractor-mk01,entity-operate,soil-extractor-mk01,False,,False,False,-1.0573546350114271e-16,8.9854841118378483e-17
16,82,__pr_graph_lp_or_cost_row__: entity: boiler,,,True,node-cost:entity: boiler,False,False,-3.9299243945638921e-17,3.3396811286211648e-17
17,381,entity-mine: boiler,entity-mine,boiler,False,,True,False,3.929924394533553e-17,3.3396811285953826e-17
18,453,entity-operate: lab,entity-operate,lab,False,,False,False,-2.4373584296528253e-17,2.0712866543837323e-17
19,448,entity-operate: flora-collector-mk01,entity-operate,flora-collector-mk01,False,,False,False,-1.7059368486558733e-17,1.4497187548840147e-17
20,383,entity-mine: burner-mining-drill,entity-mine,burner-mining-drill,False,,True,False,5.3089150888529235e-18,4.5115584310526642e-18
21,85,__pr_graph_lp_or_cost_row__: entity: burner-mining-drill,,,True,node-cost:entity: burner-mining-drill,False,False,-5.3089150886073574e-18,4.5115584308439804e-18
