rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,5648,item-burn: auog,item-burn,auog,False,,False,False,1,0.99999999799999961
2,2580,__pr_graph_lp_or_to_or_and__: 17325:entity-operate: generator-1 --> fuel-category-burn: auog:noncoproduct-route,,,True,entity-operate: generator-1 --> fuel-category-burn: auog,False,False,-2.000000000000001e-09,1.9999999960000004e-09
3,5213,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,-2.7485938780655821e-16,2.748593872568393e-16
4,5386,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,-4.798598907447937e-17,4.7985988978507372e-17
5,5349,entity-operate: py-electric-boiler,entity-operate,py-electric-boiler,False,,False,False,-2.8557126234326876e-17,2.8557126177212613e-17
6,5242,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,-1.208310515322977e-17,1.2083105129063555e-17
7,5244,entity-operate: electrolyzer-mk01,entity-operate,electrolyzer-mk01,False,,False,False,-8.764157217220863e-18,8.7641571996925447e-18
8,5646,item-burn: anthracene-oil-canister,item-burn,anthracene-oil-canister,False,,False,False,7.5539053903365482e-18,7.553905375228734e-18
9,5651,item-burn: bitumen-canister,item-burn,bitumen-canister,False,,False,False,7.5539053903365482e-18,7.553905375228734e-18
10,5674,item-burn: light-oil-canister,item-burn,light-oil-canister,False,,False,False,7.5539053903365482e-18,7.553905375228734e-18
11,5678,item-burn: methanol-canister,item-burn,methanol-canister,False,,False,False,7.5539053903365482e-18,7.553905375228734e-18
12,5682,item-burn: natural-gas-canister,item-burn,natural-gas-canister,False,,False,False,7.5539053903365482e-18,7.553905375228734e-18
13,5691,item-burn: refined-natural-gas-canister,item-burn,refined-natural-gas-canister,False,,False,False,7.1601349500914013e-18,7.1601349357711292e-18
14,5692,item-burn: refsyngas-canister,item-burn,refsyngas-canister,False,,False,False,7.1601349500914013e-18,7.1601349357711292e-18
15,5652,item-burn: btx-canister,item-burn,btx-canister,False,,False,False,6.91949745883048e-18,6.9194974449914823e-18
16,5694,item-burn: residual-oil-canister,item-burn,residual-oil-canister,False,,False,False,5.0032561322882738e-18,5.0032561222817596e-18
17,5680,item-burn: naphtha-canister,item-burn,naphtha-canister,False,,False,False,4.8719993188732254e-18,4.8719993091292247e-18
18,5696,item-burn: stripped-distillate-canister,item-burn,stripped-distillate-canister,False,,False,False,4.5219811497664303e-18,4.5219811407224659e-18
19,5686,item-burn: pitch-canister,item-burn,pitch-canister,False,,False,False,4.4782288786280808e-18,4.4782288696716214e-18
20,5649,item-burn: benzene-canister,item-burn,benzene-canister,False,,False,False,4.3469720652130324e-18,4.3469720565190865e-18
21,5660,item-burn: condensates-canister,item-burn,condensates-canister,False,,False,False,4.3469720652130324e-18,4.3469720565190865e-18
22,5681,item-burn: naphthalene-oil-canister,item-burn,naphthalene-oil-canister,False,,False,False,4.3469720652130324e-18,4.3469720565190865e-18
23,5662,item-burn: crude-oil-canister,item-burn,crude-oil-canister,False,,False,False,4.3032197940746829e-18,4.303219785468242e-18
24,5673,item-burn: kerosene-canister,item-burn,kerosene-canister,False,,False,False,4.3032197940746829e-18,4.303219785468242e-18
25,5683,item-burn: outlet-gas-01-canister,item-burn,outlet-gas-01-canister,False,,False,False,4.3032197940746829e-18,4.303219785468242e-18
26,5653,item-burn: carbolic-oil-canister,item-burn,carbolic-oil-canister,False,,False,False,4.215715251797984e-18,4.2157152433665516e-18
27,5676,item-burn: medium-distillate-canister,item-burn,medium-distillate-canister,False,,False,False,4.215715251797984e-18,4.2157152433665516e-18
28,5697,item-burn: syngas-canister,item-burn,syngas-canister,False,,False,False,4.215715251797984e-18,4.2157152433665516e-18
29,5664,item-burn: diesel-canister,item-burn,diesel-canister,False,,False,False,4.0844584383829355e-18,4.0844584302140174e-18
