rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,5680,item-burn: auog,item-burn,auog,False,,False,False,1,0.99999999799999961
2,2593,__pr_graph_lp_or_to_or_and__: 17433:entity-operate: generator-1 --> fuel-category-burn: auog:noncoproduct-route,,,True,entity-operate: generator-1 --> fuel-category-burn: auog,False,False,-2.0000000000000005e-09,1.9999999959999999e-09
3,5240,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,-3.9063871437133189e-17,3.9063871359005434e-17
4,5341,entity-operate: oil-boiler-mk01,entity-operate,oil-boiler-mk01,False,,False,False,-3.3338543751882962e-17,3.3338543685205862e-17
5,5440,entity-operate: smelter-mk01,entity-operate,smelter-mk01,False,,False,False,2.7569203255047938e-17,2.7569203199909522e-17
6,5678,item-burn: anthracene-oil-canister,item-burn,anthracene-oil-canister,False,,False,False,-2.135762276588404e-17,2.1357622723168787e-17
7,5688,item-burn: coal-gas-canister,item-burn,coal-gas-canister,False,,False,False,2.0357953484088903e-17,2.0357953443372988e-17
8,5299,entity-operate: glassworks-mk01,entity-operate,glassworks-mk01,False,,False,False,1.9959803483131573e-17,1.9959803443211957e-17
9,5729,item-burn: syngas-canister,item-burn,syngas-canister,False,,False,False,-1.9934398203336225e-17,1.993439816346742e-17
10,5723,item-burn: refined-natural-gas-canister,item-burn,refined-natural-gas-canister,False,,False,False,-1.8346747987729311e-17,1.8346747951035807e-17
11,5725,item-burn: residual-mixture-canister,item-burn,residual-mixture-canister,False,,False,False,-1.7635135706455404e-17,1.7635135671185124e-17
12,5379,entity-operate: py-electric-boiler,entity-operate,py-electric-boiler,False,,False,False,-1.7012036729039952e-17,1.7012036695015873e-17
13,5708,item-burn: medium-distillate-canister,item-burn,medium-distillate-canister,False,,False,False,1.5430577184209072e-17,1.5430577153347912e-17
14,5716,item-burn: outlet-gas-02-canister,item-burn,outlet-gas-02-canister,False,,False,False,1.5430577184209072e-17,1.5430577153347912e-17
15,5702,item-burn: hot-residual-mixture-canister,item-burn,hot-residual-mixture-canister,False,,False,False,-1.4459835275241582e-17,1.4459835246321908e-17
16,5416,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,-1.4059576039210095e-17,1.4059576011090939e-17
17,5717,item-burn: petroleum-gas-canister,item-burn,petroleum-gas-canister,False,,False,False,-1.3583797340908578e-17,1.3583797313740978e-17
18,5724,item-burn: refsyngas-canister,item-burn,refsyngas-canister,False,,False,False,-1.3201036365752861e-17,1.3201036339350784e-17
19,5703,item-burn: hot-syngas-canister,item-burn,hot-syngas-canister,False,,False,False,-1.3036610712693766e-17,1.303661068662054e-17
20,5681,item-burn: benzene-canister,item-burn,benzene-canister,False,,False,False,-1.1284534844027758e-17,1.1284534821458683e-17
21,5697,item-burn: dirty-syngas-canister,item-burn,dirty-syngas-canister,False,,False,False,-1.1284534844027758e-17,1.1284534821458683e-17
22,5693,item-burn: condensed-distillate-canister,item-burn,condensed-distillate-canister,False,,False,False,-1.1120109190968662e-17,1.1120109168728439e-17
23,5701,item-burn: high-distillate-canister,item-burn,high-distillate-canister,False,,False,False,-9.8613102814799428e-18,9.8613102617573186e-18
24,5715,item-burn: outlet-gas-01-canister,item-burn,outlet-gas-01-canister,False,,False,False,-9.8613102814799428e-18,9.8613102617573186e-18
25,5726,item-burn: residual-oil-canister,item-burn,residual-oil-canister,False,,False,False,-9.8613102814799428e-18,9.8613102617573186e-18
26,5685,item-burn: carbolic-oil-canister,item-burn,carbolic-oil-canister,False,,False,False,-9.1496980002060338e-18,9.1496979819066348e-18
27,5713,item-burn: naphthalene-oil-canister,item-burn,naphthalene-oil-canister,False,,False,False,-9.1496980002060338e-18,9.1496979819066348e-18
28,5705,item-burn: kerosene-canister,item-burn,kerosene-canister,False,,False,False,-8.4380857189321263e-18,8.438085702055951e-18
29,5712,item-burn: naphtha-canister,item-burn,naphtha-canister,False,,False,False,-8.4380857189321263e-18,8.438085702055951e-18
30,5714,item-burn: natural-gas-canister,item-burn,natural-gas-canister,False,,False,False,-8.4380857189321263e-18,8.438085702055951e-18
31,5718,item-burn: pitch-canister,item-burn,pitch-canister,False,,False,False,8.3683640405075175e-18,8.3683640237707857e-18
32,5707,item-burn: low-distillate-canister,item-burn,low-distillate-canister,False,,False,False,-8.2736600658730306e-18,8.2736600493257071e-18
33,5711,item-burn: middle-oil-canister,item-burn,middle-oil-canister,False,,False,False,-7.5620477845991231e-18,7.5620477694750249e-18
34,5730,item-burn: tall-oil-canister,item-burn,tall-oil-canister,False,,False,False,-7.3976221315400275e-18,7.3976221167447809e-18
35,5683,item-burn: bitumen-canister,item-burn,bitumen-canister,False,,False,False,6.5623785028039856e-18,6.562378489679226e-18
36,5684,item-burn: btx-canister,item-burn,btx-canister,False,,False,False,-6.3032488751104031e-18,6.3032488625039028e-18
37,5682,item-burn: bio-oil-canister,item-burn,bio-oil-canister,False,,False,False,-6.1388232220513066e-18,6.1388232097736581e-18
38,5696,item-burn: diesel-canister,item-burn,diesel-canister,False,,False,False,5.8507662215300773e-18,5.850766209828543e-18
39,5722,item-burn: raw-gas-canister,item-burn,raw-gas-canister,False,,False,False,5.3574892623527903e-18,5.3574892516378097e-18
40,5728,item-burn: stripped-distillate-canister,item-burn,stripped-distillate-canister,False,,False,False,5.3574892623527903e-18,5.3574892516378097e-18
41,5272,entity-operate: electrolyzer-mk01,entity-operate,electrolyzer-mk01,False,,False,False,-4.7877751191477784e-18,4.7877751095722265e-18
42,5727,item-burn: scrude-canister,item-burn,scrude-canister,False,,False,False,-4.7155986595034909e-18,4.7155986500722921e-18
43,5679,item-burn: aromatics-canister,item-burn,aromatics-canister,False,,False,False,-4.3867473533852995e-18,4.3867473446118035e-18
44,5694,item-burn: crude-oil-canister,item-burn,crude-oil-canister,False,,False,False,-4.2223217003262038e-18,4.2223216918815588e-18
45,5698,item-burn: gasoline-canister,item-burn,gasoline-canister,False,,False,False,-4.0578960472671081e-18,4.0578960391513149e-18
46,5689,item-burn: coalbed-gas-canister,item-burn,coalbed-gas-canister,False,,False,False,-4.0039863782295834e-18,4.0039863702216091e-18
47,5974,recipe: biomass-auog,recipe,biomass-auog,False,,True,True,4.0000000000050508e-18,3.9999999920050491e-18
48,6142,recipe: caged-auog,recipe,caged-auog,False,,True,True,4.000000000000823e-18,3.9999999920008213e-18
49,2648,__pr_graph_lp_or_to_or_and__: 17543:item-burn: auog --> item: used-auog:noncoproduct-route,,,True,item-burn: auog --> item: used-auog,False,False,-4.0000000000000365e-18,3.9999999920000347e-18
50,428,__pr_graph_lp_or_cost_row__: item: auog,,,True,node-cost:item: auog,False,False,-3.9999999999999872e-18,3.9999999919999854e-18
51,5919,recipe: auog-pyvoid,recipe,auog-pyvoid,False,,True,True,3.9999999999996328e-18,3.9999999919996311e-18
52,6829,recipe: generator-1,recipe,generator-1,False,,True,True,3.9999999992715951e-18,3.9999999912715933e-18
53,5270,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,-3.0272539811735527e-18,3.0272539751190437e-18
54,5692,item-burn: condensates-canister,item-burn,condensates-canister,False,,False,False,-2.9635227908374838e-18,2.9635227849104371e-18
55,5720,item-burn: purified-syngas-canister,item-burn,purified-syngas-canister,False,,False,False,-2.7990971377783881e-18,2.7990971321801928e-18
56,5332,entity-operate: natural-gas-derrick-mk01,entity-operate,natural-gas-derrick-mk01,False,,False,False,-2.5594483271076641e-18,2.5594483219887664e-18
57,5450,entity-operate: steel-furnace,entity-operate,steel-furnace,False,,False,False,2.461032394639631e-18,2.4610323897175653e-18
58,5710,item-burn: methanol-canister,item-burn,methanol-canister,False,,False,False,2.3466144841980627e-18,2.346614479504833e-18
59,5342,entity-operate: oil-derrick-mk01,entity-operate,oil-derrick-mk01,False,,False,False,-2.3086511330835695e-18,2.3086511284662664e-18
60,5457,entity-operate: sulfur-mine,entity-operate,sulfur-mine,False,,False,False,-1.842018200732073e-18,1.8420181970480359e-18
61,5442,entity-operate: solid-separator,entity-operate,solid-separator,False,,False,False,-1.7404567194668005e-18,1.7404567159858863e-18
62,5376,entity-operate: py-coal-powerplant-mk01,entity-operate,py-coal-powerplant-mk01,False,,False,False,-1.6888646373054716e-18,1.6888646339277417e-18
63,5690,item-burn: coarse-coal,item-burn,coarse-coal,False,,False,False,1.5845237862445452e-18,1.584523783075497e-18
64,5700,item-burn: heavy-oil-canister,item-burn,heavy-oil-canister,False,,False,False,-1.540298228289668e-18,1.540298225209071e-18
65,5709,item-burn: methane-canister,item-burn,methane-canister,False,,False,False,-1.540298228289668e-18,1.540298225209071e-18
66,5345,entity-operate: olefin-plant,entity-operate,olefin-plant,False,,False,False,-1.426332039305823e-18,1.4263320364531583e-18
67,5460,entity-operate: tar-extractor-mk01,entity-operate,tar-extractor-mk01,False,,False,False,-1.4007483796352971e-18,1.4007483768337997e-18
68,5306,entity-operate: hydrocyclone-mk01,entity-operate,hydrocyclone-mk01,False,,False,False,-1.1884958093849374e-18,1.1884958070079455e-18
69,5324,entity-operate: methanol-reactor,entity-operate,methanol-reactor,False,,False,False,-1.146357928118752e-18,1.1463579258260357e-18
70,5428,entity-operate: salt-mine,entity-operate,salt-mine,False,,False,False,1.1123567763242114e-18,1.1123567740994975e-18
71,5303,entity-operate: hpf,entity-operate,hpf,False,,False,False,-1.0758821691505502e-18,1.0758821669987855e-18
72,5499,entity-operate: yaedols-culture-mk01,entity-operate,yaedols-culture-mk01,False,,False,False,-1.0377938222337353e-18,1.0377938201581473e-18
73,5431,entity-operate: scrubber-mk01,entity-operate,scrubber-mk01,False,,False,False,-1.0126693247906161e-18,1.012669322765277e-18
74,5271,entity-operate: electric-mining-drill,entity-operate,electric-mining-drill,False,,False,False,-1.0116284982544673e-18,1.0116284962312099e-18
75,5203,entity-operate: agitator-mk01,entity-operate,agitator-mk01,False,,False,False,-9.9033441862319533e-19,9.9033441664252603e-19
76,5426,entity-operate: retorter,entity-operate,retorter,False,,False,False,-9.6122582488135656e-19,9.6122582295890446e-19
77,5283,entity-operate: flotation-cell-mk01,entity-operate,flotation-cell-mk01,False,,False,False,-9.3144272180676764e-19,9.3144271994388186e-19
78,5213,entity-operate: automated-factory-mk01,entity-operate,automated-factory-mk01,False,,False,False,-9.2639851300087809e-19,9.2639851114808072e-19
79,5274,entity-operate: evaporator,entity-operate,evaporator,False,,False,False,-9.0145686615220411e-19,9.0145686434929005e-19
80,5298,entity-operate: geothermal-plant-mk01,entity-operate,geothermal-plant-mk01,False,,False,False,-8.8715961102308367e-19,8.8715960924876409e-19
81,5289,entity-operate: fts-reactor,entity-operate,fts-reactor,False,,False,False,-8.6562452357103993e-19,8.656245218397906e-19
82,5258,entity-operate: creature-chamber-mk01,entity-operate,creature-chamber-mk01,False,,False,False,-8.4883699361201913e-19,8.4883699191434482e-19
83,5489,entity-operate: vacuum-pump-mk01,entity-operate,vacuum-pump-mk01,False,,False,False,-8.4246054955788081e-19,8.4246054787295943e-19
84,5731,item-burn: tar-canister,item-burn,tar-canister,False,,False,False,-8.2868594701576024e-19,8.2868594535838803e-19
85,5677,item-burn: acetylene-canister,item-burn,acetylene-canister,False,,False,False,7.5896426859115129e-19,7.5896426707322248e-19
86,5706,item-burn: light-oil-canister,item-burn,light-oil-canister,False,,False,False,7.5896426859115129e-19,7.5896426707322248e-19
87,5719,item-burn: propene-canister,item-burn,propene-canister,False,,False,False,7.5896426859115129e-19,7.5896426707322248e-19
88,5445,entity-operate: sponge-culture-mk01,entity-operate,sponge-culture-mk01,False,,False,False,-7.2766251738279059e-19,7.2766251592746529e-19
89,5313,entity-operate: jaw-crusher,entity-operate,jaw-crusher,False,,False,False,-7.1953823239861945e-19,7.1953823095954274e-19
90,5422,entity-operate: reformer-mk01,entity-operate,reformer-mk01,False,,False,False,-6.8774809387673089e-19,6.8774809250123442e-19
91,5326,entity-operate: mixer-mk01,entity-operate,mixer-mk01,False,,False,False,-5.9962399077309834e-19,5.9962398957385018e-19
92,5483,entity-operate: tuuphra-plantation-mk01,entity-operate,tuuphra-plantation-mk01,False,,False,False,-5.9710929676613676e-19,5.9710929557191796e-19
93,5344,entity-operate: oil-sand-extractor-mk01,entity-operate,oil-sand-extractor-mk01,False,,False,False,-5.7484669923590713e-19,5.7484669808621353e-19
94,5259,entity-operate: data-array,entity-operate,data-array,False,,False,False,-5.6863887850791017e-19,5.6863887737063217e-19
95,5686,item-burn: coal,item-burn,coal,False,,False,False,5.6559026038275144e-19,5.6559025925157074e-19
96,5368,entity-operate: prandium-lab-mk01,entity-operate,prandium-lab-mk01,False,,False,False,5.4501764229214531e-19,5.4501764120210979e-19
97,5498,entity-operate: xyhiphoe-pool-mk01,entity-operate,xyhiphoe-pool-mk01,False,,False,False,-5.4488649399374348e-19,5.4488649290397027e-19
98,5461,entity-operate: tar-processing-unit,entity-operate,tar-processing-unit,False,,False,False,-4.7443083696825348e-19,4.7443083601939161e-19
99,5248,entity-operate: coalbed-mk01,entity-operate,coalbed-mk01,False,,False,False,-4.7300170697871231e-19,4.7300170603270872e-19
100,5236,entity-operate: carbon-filter,entity-operate,carbon-filter,False,,False,False,-4.6942510847205233e-19,4.6942510753320192e-19
101,5418,entity-operate: rc-mk01,entity-operate,rc-mk01,False,,False,False,-4.6513988573699378e-19,4.6513988480671386e-19
102,5239,entity-operate: centrifugal-pan-mk01,entity-operate,centrifugal-pan-mk01,False,,False,False,-4.5707704852309767e-19,4.5707704760894337e-19
103,5425,entity-operate: research-center-mk01,entity-operate,research-center-mk01,False,,False,False,-4.4998233731026209e-19,4.4998233641029727e-19
104,5275,entity-operate: ez-ranch-mk01,entity-operate,ez-ranch-mk01,False,,False,False,-4.4308805057079679e-19,4.4308804968462047e-19
105,5373,entity-operate: py-biomass-powerplant-mk01,entity-operate,py-biomass-powerplant-mk01,False,,False,False,4.3505423892288276e-19,4.350542380527741e-19
106,5695,item-burn: crushed-coal,item-burn,crushed-coal,False,,False,False,4.346436814886521e-19,4.3464368061936455e-19
107,5691,item-burn: coke,item-burn,coke,False,,False,False,-4.2206124878682817e-19,4.220612479427055e-19
108,5291,entity-operate: gas-refinery-mk01,entity-operate,gas-refinery-mk01,False,,False,False,-4.0862864697544641e-19,4.0862864615818897e-19
109,5497,entity-operate: wpu-mk01,entity-operate,wpu-mk01,False,,False,False,-3.8015337905655533e-19,3.801533782962484e-19
110,5408,entity-operate: quenching-tower,entity-operate,quenching-tower,False,,False,False,-3.7605858068897228e-19,3.7605857993685499e-19
111,5201,entity-operate: advanced-foundry-mk01,entity-operate,advanced-foundry-mk01,False,,False,False,-3.6889751479334537e-19,3.6889751405555021e-19
112,5285,entity-operate: fluid-drill-mk02,entity-operate,fluid-drill-mk02,False,,False,False,-3.534065856147824e-19,3.5340658490796909e-19
113,5308,entity-operate: incubator-mk01,entity-operate,incubator-mk01,False,,False,False,-3.4754772355777209e-19,3.4754772286267653e-19
114,5494,entity-operate: wet-scrubber-mk01,entity-operate,wet-scrubber-mk01,False,,False,False,-3.4104360637181455e-19,3.410436056897272e-19
115,5278,entity-operate: fbreactor-mk01,entity-operate,fbreactor-mk01,False,,False,False,-3.2805709839116497e-19,3.2805709773505067e-19
116,5250,entity-operate: compressor-mk01,entity-operate,compressor-mk01,False,,False,False,3.2542515020380618e-19,3.2542514955295578e-19
117,5212,entity-operate: auog-paddock-mk01,entity-operate,auog-paddock-mk01,False,,False,False,-3.2512979025068719e-19,3.2512978960042747e-19
118,5699,item-burn: gunpowder,item-burn,gunpowder,False,,False,False,-3.2211655173050396e-19,3.2211655108627071e-19
119,5687,item-burn: coal-dust,item-burn,coal-dust,False,,False,False,-3.1002751413806726e-19,3.1002751351801209e-19
120,5290,entity-operate: fwf-mk01,entity-operate,fwf-mk01,False,,False,False,-3.0808296994486538e-19,3.0808296932869934e-19
121,5486,entity-operate: upgrader-mk01,entity-operate,upgrader-mk01,False,,False,False,-3.0174718701241648e-19,3.01747186408922e-19
122,5441,entity-operate: soil-extractor-mk01,entity-operate,soil-extractor-mk01,False,,False,False,-2.9911329278777462e-19,2.9911329218954794e-19
123,5256,entity-operate: cracker-mk01,entity-operate,cracker-mk01,False,,False,False,-2.8005630443773895e-19,2.8005630387762623e-19
124,5267,entity-operate: distilator,entity-operate,distilator,False,,False,False,-2.7902419261383705e-19,2.7902419205578854e-19
