rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,7516,item-burn: mox-fuel-cell,item-burn,mox-fuel-cell,False,,False,False,0.98058067569092022,0.83333333329861081
2,7537,item-burn: uranium-fuel-cell,item-burn,uranium-fuel-cell,False,,False,False,0.19611613513818404,0.16666666665972216
3,3555,__pr_graph_lp_or_to_or_and__: 24636:entity-operate: nuclear-reactor --> fuel-category-burn: nuclear:noncoproduct-route,,,True,entity-operate: nuclear-reactor --> fuel-category-burn: nuclear,False,False,-4.9029033784546006e-11,4.1666666664930536e-11
4,7486,item-burn: charged-auog,item-burn,charged-auog,False,,False,False,1.5591070651247335e-16,1.3249862247533571e-16
5,7480,item-burn: auog-mk02,item-burn,auog-mk02,False,,False,False,1.2528222783606121e-16,1.0646942073597261e-16
6,7479,item-burn: auog,item-burn,auog,False,,False,False,6.2641113918030605e-17,5.3234710367986307e-17
7,7079,entity-operate: particle-accelerator-mk01,entity-operate,particle-accelerator-mk01,False,,False,False,-2.1939136255320223e-17,1.8644680645431255e-17
8,7226,entity-operate: uranium-mining-drill,entity-operate,uranium-mining-drill,False,,False,False,-1.1338078026637836e-17,9.6355135170091658e-18
9,6929,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,-5.4847840638300558e-18,4.6611701613578138e-18
10,7144,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,2.0971135914155977e-18,1.7822038540672041e-18
11,6959,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,-5.6525682345747113e-19,4.8037592881350365e-19
12,6906,entity-operate: bio-printer-mk01,entity-operate,bio-printer-mk01,False,,False,False,-2.8262841172873556e-19,2.4018796440675183e-19
13,7150,entity-operate: reformer-mk01,entity-operate,reformer-mk01,False,,False,False,-2.3471219804898291e-19,1.9946701298002517e-19
14,7044,entity-operate: natural-gas-derrick-mk01,entity-operate,natural-gas-derrick-mk01,False,,False,False,1.7070190375930347e-19,1.4506872303997639e-19
15,7063,entity-operate: oil-derrick-mk01,entity-operate,oil-derrick-mk01,False,,False,False,1.7070190375930347e-19,1.4506872303997639e-19
16,7142,entity-operate: ralesia-plantation-mk02,entity-operate,ralesia-plantation-mk02,False,,False,False,-1.6916230929339329e-19,1.4376031933591501e-19
17,7241,entity-operate: xyhiphoe-pool-mk02,entity-operate,xyhiphoe-pool-mk02,False,,False,False,-1.5456856301895388e-19,1.3135801983146701e-19
18,6985,entity-operate: fwf-mk02,entity-operate,fwf-mk02,False,,False,False,-1.4039856014276201e-19,1.1931583296974073e-19
19,7196,entity-operate: tar-extractor-mk01,entity-operate,tar-extractor-mk01,False,,False,False,1.3957578305283557e-19,1.1861660689695786e-19
20,7005,entity-operate: hpf,entity-operate,hpf,False,,False,False,-1.3900550266571994e-19,1.1813196175995775e-19
21,6922,entity-operate: cadaveric-arum-mk02,entity-operate,cadaveric-arum-mk02,False,,False,False,1.3478651516077573e-19,1.1454651182422137e-19
22,6916,entity-operate: botanical-nursery-mk02,entity-operate,botanical-nursery-mk02,False,,False,False,1.2618614943862013e-19,1.0723760638430827e-19
23,6962,entity-operate: electrolyzer-mk01,entity-operate,electrolyzer-mk01,False,,False,False,9.4518922893634979e-20,8.0325638703055822e-20
24,7019,entity-operate: kicalk-plantation-mk02,entity-operate,kicalk-plantation-mk02,False,,False,False,-9.1527096360872069e-20,7.7783075057854644e-20
25,6977,entity-operate: flotation-cell-mk01,entity-operate,flotation-cell-mk01,False,,False,False,8.5350951879651734e-20,7.2534361519988195e-20
26,6983,entity-operate: fts-reactor,entity-operate,fts-reactor,False,,False,False,8.5350951879651734e-20,7.2534361519988195e-20
27,7174,entity-operate: solid-separator,entity-operate,solid-separator,False,,False,False,8.5350951879651734e-20,7.2534361519988195e-20
28,6921,entity-operate: cadaveric-arum-mk01,entity-operate,cadaveric-arum-mk01,False,,False,False,-8.0711510871075409e-20,6.8591594814336934e-20
29,7178,entity-operate: sponge-culture-mk02,entity-operate,sponge-culture-mk02,False,,False,False,7.9846656358349964e-20,6.7856609808233259e-20
30,7156,entity-operate: retorter,entity-operate,retorter,False,,False,False,-7.65983547279434e-20,6.5096084241768557e-20
