rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,15119,item-burn: mox-fuel-cell,item-burn,mox-fuel-cell,False,,False,False,0.98058067569092022,0.83333333329861081
2,15146,item-burn: uranium-fuel-cell,item-burn,uranium-fuel-cell,False,,False,False,0.19611613513818407,0.16666666665972218
3,8052,__pr_graph_lp_or_to_or_and__: 51283:entity-operate: nuclear-reactor --> fuel-category-burn: nuclear:noncoproduct-route,,,True,entity-operate: nuclear-reactor --> fuel-category-burn: nuclear,False,False,-4.9029033784546006e-11,4.1666666664930536e-11
4,15077,item-burn: auog-mk03,item-burn,auog-mk03,False,,False,False,1.1678605654989846e-16,9.9249063539778362e-17
5,15141,item-burn: simik,item-burn,simik,False,,False,False,-1.0266880391347204e-16,8.7251705761702016e-17
6,14350,entity-operate: particle-accelerator-mk01,entity-operate,particle-accelerator-mk01,False,,False,False,6.8867696831696275e-17,5.8526288331063264e-17
7,14101,entity-operate: centrifuge-mk02,entity-operate,centrifuge-mk02,False,,False,False,3.4433848415848138e-17,2.9263144165531632e-17
8,14100,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,1.7216924207924069e-17,1.4631572082765816e-17
9,15076,item-burn: auog-mk02,item-burn,auog-mk02,False,,False,False,1.3236400534901154e-17,1.124877743572979e-17
10,14577,entity-operate: uranium-mining-drill,entity-operate,uranium-mining-drill,False,,False,False,1.249387512820087e-17,1.0617752179405554e-17
11,15075,item-burn: auog,item-burn,auog,False,,False,False,6.6182002674505772e-18,5.6243887178648948e-18
12,14457,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,-6.0130636998582902e-18,5.1101215234627176e-18
13,15099,item-burn: dingrits-mk02,item-burn,dingrits-mk02,False,,False,False,4.4627299233748759e-18,3.7925911603724614e-18
14,15098,item-burn: dingrits,item-burn,dingrits,False,,False,False,3.43012762383543e-18,2.9150479478869565e-18
15,15083,item-burn: charged-auog,item-burn,charged-auog,False,,False,False,-3.2481243746312213e-18,2.7603749280218098e-18
16,15084,item-burn: charged-dingrit,item-burn,charged-dingrit,False,,False,False,-2.0244426376511761e-18,1.7204454188504132e-18
17,15123,item-burn: nexelit-battery,item-burn,nexelit-battery,False,,False,False,1.0423469833076722e-18,8.8582460126648917e-19
18,14162,entity-operate: electrolyzer-mk02,entity-operate,electrolyzer-mk02,False,,False,False,8.0572718464395855e-19,6.8473643949342265e-19
19,14068,entity-operate: bio-printer-mk01,entity-operate,bio-printer-mk01,False,,False,False,-7.5163701282895654e-19,6.3876863256562437e-19
20,14158,entity-operate: eaf-mk02,entity-operate,eaf-mk02,False,,False,False,-7.444634679798428e-19,6.3267229170466766e-19
21,14392,entity-operate: py-electric-boiler,entity-operate,py-electric-boiler,False,,False,False,-5.8618420871336032e-19,4.9816078644413812e-19
22,14568,entity-operate: trits-reef-mk02,entity-operate,trits-reef-mk02,False,,False,False,-5.4722454772422253e-19,4.6505144117442209e-19
23,14104,entity-operate: chemical-plant-mk02,entity-operate,chemical-plant-mk02,False,,False,False,-5.2892794961444926e-19,4.4950232270938692e-19
24,14232,entity-operate: hpf-mk02,entity-operate,hpf-mk02,False,,False,False,-5.2892794961444926e-19,4.4950232270938692e-19
25,14055,entity-operate: automated-factory-mk02,entity-operate,automated-factory-mk02,False,,False,False,-5.10631351504676e-19,4.3395320424435165e-19
26,14300,entity-operate: natural-gas-derrick-mk02,entity-operate,natural-gas-derrick-mk02,False,,False,False,-5.10631351504676e-19,4.3395320424435165e-19
27,14536,entity-operate: tar-extractor-mk02,entity-operate,tar-extractor-mk02,False,,False,False,-5.10631351504676e-19,4.3395320424435165e-19
28,14219,entity-operate: ground-borer-mk02,entity-operate,ground-borer-mk02,False,,False,False,-4.058442612657236e-19,3.4490130126455782e-19
29,14247,entity-operate: incubator-mk02,entity-operate,incubator-mk02,False,,False,False,-4.058442612657236e-19,3.4490130126455782e-19
30,14319,entity-operate: nmf-mk02,entity-operate,nmf-mk02,False,,False,False,-4.058442612657236e-19,3.4490130126455782e-19
31,14505,entity-operate: soil-extractor-mk02,entity-operate,soil-extractor-mk02,False,,False,False,-4.058442612657236e-19,3.4490130126455782e-19
32,14593,entity-operate: washer-mk02,entity-operate,washer-mk02,False,,False,False,-4.058442612657236e-19,3.4490130126455782e-19
33,14595,entity-operate: wet-scrubber-mk02,entity-operate,wet-scrubber-mk02,False,,False,False,-4.058442612657236e-19,3.4490130126455782e-19
34,14161,entity-operate: electrolyzer-mk01,entity-operate,electrolyzer-mk01,False,,False,False,4.0286359232197928e-19,3.4236821974671132e-19
35,14612,entity-operate: zipir-reef-mk02,entity-operate,zipir-reef-mk02,False,,False,False,-3.8793294799894052e-19,3.2967961195495869e-19
36,14168,entity-operate: ez-ranch-mk02,entity-operate,ez-ranch-mk02,False,,False,False,-3.7987042141045132e-19,3.2282778188798297e-19
37,14157,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,-3.722317339899214e-19,3.1633614585233383e-19
38,14217,entity-operate: grods-swamp-mk02,entity-operate,grods-swamp-mk02,False,,False,False,-3.5947450233739902e-19,3.0549458366351307e-19
39,14144,entity-operate: dhilmos-pool-mk02,entity-operate,dhilmos-pool-mk02,False,,False,False,-3.5814421317219861e-19,3.0436405526154716e-19
40,14514,entity-operate: sponge-culture-mk03,entity-operate,sponge-culture-mk03,False,,False,False,-3.4156533097755866e-19,2.902747146247967e-19
41,14466,entity-operate: reformer-mk01,entity-operate,reformer-mk01,False,,False,False,-3.3773497572305957e-19,2.8701953859381845e-19
42,14027,entity-operate: advanced-foundry-mk02,entity-operate,advanced-foundry-mk02,False,,False,False,-3.3596997660683377e-19,2.8551957777136271e-19
