rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,20127,item-burn: mox-fuel-cell,item-burn,mox-fuel-cell,False,,False,False,0.98058067569092022,0.83333333329861092
2,20158,item-burn: uranium-fuel-cell,item-burn,uranium-fuel-cell,False,,False,False,0.19611613513818402,0.16666666665972218
3,11620,__pr_graph_lp_or_to_or_and__: 72725:entity-operate: nuclear-reactor --> fuel-category-burn: nuclear:noncoproduct-route,,,True,entity-operate: nuclear-reactor --> fuel-category-burn: nuclear,False,False,-4.9029033784546013e-11,4.1666666664930549e-11
4,19005,entity-operate: fusion-reactor-mk01,entity-operate,fusion-reactor-mk01,False,,False,False,1.1687832983698322e-16,9.9327480755013202e-17
5,18878,entity-operate: centrifuge-mk03,entity-operate,centrifuge-mk03,False,,False,False,3.4962457623674735e-17,2.9712375609808361e-17
6,19210,entity-operate: particle-accelerator-mk01,entity-operate,particle-accelerator-mk01,False,,False,False,3.4327649906562297e-17,2.9172892787008235e-17
7,19211,entity-operate: particle-accelerator-mk02,entity-operate,particle-accelerator-mk02,False,,False,False,-3.0973699247087936e-17,2.6322582810412476e-17
8,18877,entity-operate: centrifuge-mk02,entity-operate,centrifuge-mk02,False,,False,False,1.7163824953281149e-17,1.4586446393504118e-17
9,20084,item-burn: auog-mk04,item-burn,auog-mk04,False,,False,False,-1.4156456174107377e-17,1.2030674378681147e-17
10,20090,item-burn: charged-auog,item-burn,charged-auog,False,,False,False,-9.8020418075561806e-18,8.3301337412831195e-18
11,18876,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,8.5819124766405743e-18,7.2932231967520588e-18
12,20083,item-burn: auog-mk03,item-burn,auog-mk03,False,,False,False,-7.2473826970898488e-18,6.1590909655660108e-18
13,20082,item-burn: auog-mk02,item-burn,auog-mk02,False,,False,False,-7.0782280870536883e-18,6.0153371893405736e-18
14,19495,entity-operate: uranium-mining-drill,entity-operate,uranium-mining-drill,False,,False,False,4.960333110154425e-18,4.2154725535906547e-18
15,20081,item-burn: auog,item-burn,auog,False,,False,False,-3.5391140435268441e-18,3.0076685946702868e-18
16,19494,entity-operate: uranium-mine,entity-operate,uranium-mine,False,,False,False,-3.5158350272883181e-18,2.9878852349948633e-18
17,20142,item-burn: quantum-battery,item-burn,quantum-battery,False,,False,False,-3.1223170811684621e-18,2.6534592873064479e-18
18,18952,entity-operate: eaf-mk03,entity-operate,eaf-mk03,False,,False,False,2.513129449620384e-18,2.1357493505441823e-18
19,20151,item-burn: simik,item-burn,simik,False,,False,False,-2.478218568945079e-18,2.10608080691207e-18
20,20153,item-burn: simik-mk03,item-burn,simik-mk03,False,,False,False,-1.8227597923865685e-18,1.5490479582640302e-18
21,19263,entity-operate: py-electric-boiler,entity-operate,py-electric-boiler,False,,False,False,1.3790428282632019e-18,1.1719610485168764e-18
22,20132,item-burn: nuclear-fuel,item-burn,nuclear-fuel,False,,False,False,-1.1110430576163489e-18,9.4420503849858387e-19
23,20131,item-burn: nexelit-battery,item-burn,nexelit-battery,False,,False,False,-9.5548822681145179e-19,8.1200885221945966e-19
24,18835,entity-operate: bio-printer-mk03,entity-operate,bio-printer-mk03,False,,False,False,8.8946553749632823e-19,7.5590035536218268e-19
25,18951,entity-operate: eaf-mk02,entity-operate,eaf-mk02,False,,False,False,8.8946553749632823e-19,7.5590035536218268e-19
26,18834,entity-operate: bio-printer-mk02,entity-operate,bio-printer-mk02,False,,False,False,4.4473276874816412e-19,3.7795017768109134e-19
27,18950,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,4.4473276874816412e-19,3.7795017768109134e-19
28,20091,item-burn: charged-dingrit,item-burn,charged-dingrit,False,,False,False,-3.6629874741089415e-19,3.1129407679581999e-19
29,18956,entity-operate: electrolyzer-mk02,entity-operate,electrolyzer-mk02,False,,False,False,2.7838818363506188e-19,2.3658446344161426e-19
30,18833,entity-operate: bio-printer-mk01,entity-operate,bio-printer-mk01,False,,False,False,2.2236638437408206e-19,1.8897508884054567e-19
31,19146,entity-operate: natural-gas-derrick-mk03,entity-operate,natural-gas-derrick-mk03,False,,False,False,2.2236638437408206e-19,1.8897508884054567e-19
32,19188,entity-operate: oil-derrick-mk03,entity-operate,oil-derrick-mk03,False,,False,False,2.2236638437408206e-19,1.8897508884054567e-19
33,19444,entity-operate: tar-extractor-mk03,entity-operate,tar-extractor-mk03,False,,False,False,2.2236638437408206e-19,1.8897508884054567e-19
34,18957,entity-operate: electrolyzer-mk03,entity-operate,electrolyzer-mk03,False,,False,False,1.7883150394634449e-19,1.5197755470492686e-19
35,19337,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,1.7883150394634449e-19,1.5197755470492686e-19
36,18777,entity-operate: advanced-foundry-mk02,entity-operate,advanced-foundry-mk02,False,,False,False,1.5078450726022335e-19,1.28142190805886e-19
37,18955,entity-operate: electrolyzer-mk01,entity-operate,electrolyzer-mk01,False,,False,False,1.3919409181753094e-19,1.1829223172080713e-19
38,19136,entity-operate: moss-farm-mk03,entity-operate,moss-farm-mk03,False,,False,False,1.3873601084245262e-19,1.1790293774903502e-19
