rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,21548,entity-operate: fusion-reactor-mk02,entity-operate,fusion-reactor-mk02,False,,False,False,0.98632297596909557,0.68255484850592041
2,21547,entity-operate: fusion-reactor-mk01,entity-operate,fusion-reactor-mk01,False,,False,False,0.12329037199613695,0.085319356063240051
3,21803,entity-operate: particle-accelerator-mk04,entity-operate,particle-accelerator-mk04,False,,False,False,0.061645185998068487,0.042659678031620039
4,21391,entity-operate: centrifuge-mk04,entity-operate,centrifuge-mk04,False,,False,False,0.049316148798454779,0.034127742425296023
5,21802,entity-operate: particle-accelerator-mk03,entity-operate,particle-accelerator-mk03,False,,False,False,0.049316148798454779,0.034127742425296023
6,21801,entity-operate: particle-accelerator-mk02,entity-operate,particle-accelerator-mk02,False,,False,False,0.036987111598841091,0.025595806818972021
7,21390,entity-operate: centrifuge-mk03,entity-operate,centrifuge-mk03,False,,False,False,0.024658074399227389,0.017063871212648012
8,21800,entity-operate: particle-accelerator-mk01,entity-operate,particle-accelerator-mk01,False,,False,False,0.024658074399227389,0.017063871212648012
9,22134,entity-operate: uranium-mine,entity-operate,uranium-mine,False,,False,False,0.022192266959304652,0.015357484091383211
10,21389,entity-operate: centrifuge-mk02,entity-operate,centrifuge-mk02,False,,False,False,0.012329037199613695,0.0085319356063240058
11,21388,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,0.0061645185998068473,0.0042659678031620029
12,22135,entity-operate: uranium-mining-drill,entity-operate,uranium-mining-drill,False,,False,False,0.0044384533918609293,0.0030714968182766417
13,21338,entity-operate: bio-printer-mk04,entity-operate,bio-printer-mk04,False,,False,False,0.0017753813567443722,0.001228598727310657
14,21482,entity-operate: eaf-mk04,entity-operate,eaf-mk04,False,,False,False,0.0017753813567443722,0.001228598727310657
15,21481,entity-operate: eaf-mk03,entity-operate,eaf-mk03,False,,False,False,0.0013315360175582794,0.00092144904548299288
16,21488,entity-operate: electrolyzer-mk04,entity-operate,electrolyzer-mk04,False,,False,False,0.0009863229759690961,0.00068255484850592084
17,21337,entity-operate: bio-printer-mk03,entity-operate,bio-printer-mk03,False,,False,False,0.00088769067837218612,0.00061429936365532851
18,21480,entity-operate: eaf-mk02,entity-operate,eaf-mk02,False,,False,False,0.00088769067837218612,0.00061429936365532851
19,21487,entity-operate: electrolyzer-mk03,entity-operate,electrolyzer-mk03,False,,False,False,0.0007397422319768217,0.00051191613637944036
20,21945,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,0.0007397422319768217,0.00051191613637944036
21,21865,entity-operate: py-electric-boiler,entity-operate,py-electric-boiler,False,,False,False,0.00061645185998068493,0.00042659678031620044
22,21486,entity-operate: electrolyzer-mk02,entity-operate,electrolyzer-mk02,False,,False,False,0.00049316148798454805,0.00034127742425296042
23,21336,entity-operate: bio-printer-mk02,entity-operate,bio-printer-mk02,False,,False,False,0.00044384533918609306,0.00030714968182766426
24,21479,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,0.00044384533918609306,0.00030714968182766426
25,21722,entity-operate: natural-gas-derrick-mk04,entity-operate,natural-gas-derrick-mk04,False,,False,False,0.00029589689279072869,0.00020476645455177615
26,21776,entity-operate: oil-derrick-mk04,entity-operate,oil-derrick-mk04,False,,False,False,0.00029589689279072869,0.00020476645455177615
27,22074,entity-operate: tar-extractor-mk04,entity-operate,tar-extractor-mk04,False,,False,False,0.00029589689279072869,0.00020476645455177615
28,21270,entity-operate: advanced-foundry-mk04,entity-operate,advanced-foundry-mk04,False,,False,False,0.00024658074399227403,0.00017063871212648021
29,21315,entity-operate: automated-factory-mk04,entity-operate,automated-factory-mk04,False,,False,False,0.00024658074399227403,0.00017063871212648021
30,21485,entity-operate: electrolyzer-mk01,entity-operate,electrolyzer-mk01,False,,False,False,0.00024658074399227403,0.00017063871212648021
31,21963,entity-operate: reformer-mk04,entity-operate,reformer-mk04,False,,False,False,0.00024658074399227403,0.00017063871212648021
32,22141,entity-operate: vacuum-pump-mk04,entity-operate,vacuum-pump-mk04,False,,False,False,0.00024658074399227403,0.00017063871212648021
33,21335,entity-operate: bio-printer-mk01,entity-operate,bio-printer-mk01,False,,False,False,0.00022192266959304653,0.00015357484091383213
34,21721,entity-operate: natural-gas-derrick-mk03,entity-operate,natural-gas-derrick-mk03,False,,False,False,0.00022192266959304653,0.00015357484091383213
35,21775,entity-operate: oil-derrick-mk03,entity-operate,oil-derrick-mk03,False,,False,False,0.00022192266959304653,0.00015357484091383213
36,22073,entity-operate: tar-extractor-mk03,entity-operate,tar-extractor-mk03,False,,False,False,0.00022192266959304653,0.00015357484091383213
37,21269,entity-operate: advanced-foundry-mk03,entity-operate,advanced-foundry-mk03,False,,False,False,0.00019726459519381917,0.00013651096970118413
38,21314,entity-operate: automated-factory-mk03,entity-operate,automated-factory-mk03,False,,False,False,0.00019726459519381917,0.00013651096970118413
39,21611,entity-operate: hpf-mk04,entity-operate,hpf-mk04,False,,False,False,0.00019726459519381917,0.00013651096970118413
40,21962,entity-operate: reformer-mk03,entity-operate,reformer-mk03,False,,False,False,0.00018493555799420542,0.00012797903409486009
41,21678,entity-operate: mega-farm,entity-operate,mega-farm,False,,False,False,0.00014918135011532575,0.0001032364208365205
42,21313,entity-operate: automated-factory-mk02,entity-operate,automated-factory-mk02,False,,False,False,0.00014794844639536434,0.00010238322727588808
43,21396,entity-operate: chemical-plant-mk04,entity-operate,chemical-plant-mk04,False,,False,False,0.00014794844639536434,0.00010238322727588808
44,21529,entity-operate: flotation-cell-mk04,entity-operate,flotation-cell-mk04,False,,False,False,0.00014794844639536434,0.00010238322727588808
45,21542,entity-operate: fracking-rig,entity-operate,fracking-rig,False,,False,False,0.00014794844639536434,0.00010238322727588808
46,21546,entity-operate: fts-reactor-mk04,entity-operate,fts-reactor-mk04,False,,False,False,0.00014794844639536434,0.00010238322727588808
47,21610,entity-operate: hpf-mk03,entity-operate,hpf-mk03,False,,False,False,0.00014794844639536434,0.00010238322727588808
48,21720,entity-operate: natural-gas-derrick-mk02,entity-operate,natural-gas-derrick-mk02,False,,False,False,0.00014794844639536434,0.00010238322727588808
49,21774,entity-operate: oil-derrick-mk02,entity-operate,oil-derrick-mk02,False,,False,False,0.00014794844639536434,0.00010238322727588808
50,21927,entity-operate: quantum-computer,entity-operate,quantum-computer,False,,False,False,0.00014794844639536434,0.00010238322727588808
51,22038,entity-operate: solid-separator-mk04,entity-operate,solid-separator-mk04,False,,False,False,0.00014794844639536434,0.00010238322727588808
52,22072,entity-operate: tar-extractor-mk02,entity-operate,tar-extractor-mk02,False,,False,False,0.00014794844639536434,0.00010238322727588808
53,22140,entity-operate: vacuum-pump-mk03,entity-operate,vacuum-pump-mk03,False,,False,False,0.00014794844639536434,0.00010238322727588808
54,22199,entity-operate: zungror-lair-mk04,entity-operate,zungror-lair-mk04,False,,False,False,0.00014794844639536434,0.00010238322727588808
55,21268,entity-operate: advanced-foundry-mk02,entity-operate,advanced-foundry-mk02,False,,False,False,0.00013315360175582795,9.2144904548299291e-05
56,21711,entity-operate: mukmoux-pasture-mk03,entity-operate,mukmoux-pasture-mk03,False,,False,False,0.00012329037199613704,8.5319356063240118e-05
57,21395,entity-operate: chemical-plant-mk03,entity-operate,chemical-plant-mk03,False,,False,False,0.00012329037199613701,8.5319356063240105e-05
58,21496,entity-operate: evaporator-mk04,entity-operate,evaporator-mk04,False,,False,False,0.00012329037199613701,8.5319356063240105e-05
59,21545,entity-operate: fts-reactor-mk03,entity-operate,fts-reactor-mk03,False,,False,False,0.00012329037199613701,8.5319356063240105e-05
60,21961,entity-operate: reformer-mk02,entity-operate,reformer-mk02,False,,False,False,0.00012329037199613701,8.5319356063240105e-05
61,21282,entity-operate: antelope-enclosure-mk01,entity-operate,antelope-enclosure-mk01,False,,False,False,0.00012329037199613696,8.5319356063240064e-05
62,21446,entity-operate: cridren-enclosure-mk04,entity-operate,cridren-enclosure-mk04,False,,False,False,0.00012329037199613696,8.5319356063240064e-05
63,21528,entity-operate: flotation-cell-mk03,entity-operate,flotation-cell-mk03,False,,False,False,0.00011096133479652327,7.6787420456916064e-05
64,22037,entity-operate: solid-separator-mk03,entity-operate,solid-separator-mk03,False,,False,False,0.00011096133479652327,7.6787420456916064e-05
65,21371,entity-operate: cadaveric-arum-mk04,entity-operate,cadaveric-arum-mk04,False,,False,False,0.00010356391247675503,7.1668259093121637e-05
66,21297,entity-operate: arthurian-pen-mk04,entity-operate,arthurian-pen-mk04,False,,False,False,9.8632297596909599e-05,6.8255484850592078e-05
67,21461,entity-operate: dhilmos-pool-mk04,entity-operate,dhilmos-pool-mk04,False,,False,False,9.8632297596909599e-05,6.8255484850592078e-05
68,21468,entity-operate: dingrits-pack-mk04,entity-operate,dingrits-pack-mk04,False,,False,False,9.8632297596909599e-05,6.8255484850592078e-05
69,21503,entity-operate: ez-ranch-mk04,entity-operate,ez-ranch-mk04,False,,False,False,9.8632297596909599e-05,6.8255484850592078e-05
70,21708,entity-operate: moss-farm-mk04,entity-operate,moss-farm-mk04,False,,False,False,9.8632297596909599e-05,6.8255484850592078e-05
71,22012,entity-operate: simik-den-mk04,entity-operate,simik-den-mk04,False,,False,False,9.8632297596909599e-05,6.8255484850592078e-05
72,21279,entity-operate: agitator-mk04,entity-operate,agitator-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
73,21311,entity-operate: auog-paddock-mk04,entity-operate,auog-paddock-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
74,21323,entity-operate: ball-mill-mk04,entity-operate,ball-mill-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
75,21342,entity-operate: bio-reactor-mk04,entity-operate,bio-reactor-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
76,21346,entity-operate: biofactory-mk04,entity-operate,biofactory-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
77,21359,entity-operate: borax-mine-mk04,entity-operate,borax-mine-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
78,21363,entity-operate: botanical-nursery-mk04,entity-operate,botanical-nursery-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
79,21377,entity-operate: carbon-filter-mk04,entity-operate,carbon-filter-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
80,21394,entity-operate: chemical-plant-mk02,entity-operate,chemical-plant-mk02,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
81,21407,entity-operate: classifier-mk04,entity-operate,classifier-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
82,21418,entity-operate: coalbed-mk04,entity-operate,coalbed-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
83,21422,entity-operate: compost-plant-mk04,entity-operate,compost-plant-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
84,21437,entity-operate: cracker-mk04,entity-operate,cracker-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
85,21442,entity-operate: creature-chamber-mk04,entity-operate,creature-chamber-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
86,21457,entity-operate: desulfurizator-unit-mk04,entity-operate,desulfurizator-unit-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
87,21474,entity-operate: distilator-mk04,entity-operate,distilator-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
88,21495,entity-operate: evaporator-mk03,entity-operate,evaporator-mk03,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
89,21525,entity-operate: flora-collector-mk04,entity-operate,flora-collector-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
90,21537,entity-operate: fluid-separator-mk04,entity-operate,fluid-separator-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
91,21544,entity-operate: fts-reactor-mk02,entity-operate,fts-reactor-mk02,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
92,21556,entity-operate: gas-refinery-mk04,entity-operate,gas-refinery-mk04,False,,False,False,9.8632297596909586e-05,6.8255484850592065e-05
